"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.1.34",0.74789,0.70988,0.66838,0.65227,0.64667,0.6538,0.64981,0.64829
"Bin.1.18",0.73972,0.67423,0.63439,0.61954,0.62256,0.61574,0.61298,0.61269
"Bin.1.94",0.7393,0.66762,0.62622,0.60883,0.60318,0.60579,0.60256,0.60093
"Bin.9.34",0.73462,0.89577,0.85727,1.2437,1.2479,1.3946,1.3885,1.3848
"Bin.9.30",0.72648,1.3109,1.2288,1.1956,1.183,1.1819,1.1777,1.1867
"Bin.1.82",0.72352,0.65044,0.61105,0.59336,0.58598,0.58049,0.57736,0.57587
"Bin.7.78",0.71814,0.64515,0.64717,0.63039,0.62261,0.61591,0.61829,0.61691
"Bin.4.10",0.71718,0.65742,0.64312,0.70858,0.71254,0.70532,0.70389,0.70246
"Bin.6.66",0.70992,1.1632,1.2118,1.1854,1.1828,1.1702,1.1721,1.1698
"Bin.3.50",0.70684,0.64344,0.61052,0.59285,0.59915,0.64531,0.64173,0.64016
"Bin.3.90",0.7059,0.65144,0.61055,0.59382,0.58953,0.6108,0.60708,0.60554
"Bin.2.98",0.69956,0.63446,0.59816,0.58402,0.57697,0.57067,0.56843,0.56827
"Bin.7.90",0.69497,0.63336,0.60042,0.58472,0.57876,0.62316,0.6212,0.62075
"Bin.3.86",0.67501,0.62754,0.5882,0.57204,0.57081,0.58502,0.58472,0.58325
"Bin.2.06",0.67317,0.60559,0.56699,0.55057,0.54399,0.54808,0.54495,0.54417
"Bin.2.02",0.67266,0.61834,0.58382,0.58057,0.58037,0.58212,0.58075,0.57923
"Bin.2.50",0.64511,0.63557,0.6548,0.64768,0.6421,0.63525,0.64239,0.64492
"Bin.2.46",0.63391,0.61135,0.65021,0.64223,0.63681,0.63028,0.63033,0.6318
"Bin.3.04",0.63213,0.57178,0.53534,0.52059,0.51532,0.53663,0.53403,0.53324
"Bin.8.98",0.63177,0.60039,0.56739,0.55202,0.54973,0.56694,0.56962,0.56833
"Bin.3.06",0.62702,0.57084,0.5353,0.52195,0.51567,0.54463,0.54206,0.54092
"Bin.8.50",0.62421,0.61089,0.57327,0.57925,0.59098,0.58515,0.5818,0.58372
"Bin.9.14",0.62338,0.6764,0.64792,0.6322,0.63093,0.63038,0.6593,0.66099
"Bin.6.94",0.62151,1.198,1.1687,1.1439,1.1439,1.1406,1.1458,1.1437
"Bin.3.22",0.61926,0.60717,0.57828,0.65041,0.71153,0.74308,0.76611,0.777
"Bin.3.38",0.61515,0.56099,0.53917,0.53117,0.52508,0.52619,0.523,0.52157
"Bin.4.18",0.60899,0.56442,0.54126,0.52754,0.52555,0.52172,0.51949,0.52159
"Bin.3.58",0.60023,0.57197,0.61072,0.64076,0.66145,0.66554,0.66386,0.66307
"Bin.4.38",0.59513,0.53956,0.53774,0.5312,0.5254,0.5235,0.52309,0.52196
"Bin.3.62",0.58639,0.58129,0.58975,0.57976,0.5738,0.57161,0.58885,0.58908
"Bin.9.90",0.5839,0.5247,0.99393,1.0863,1.1091,1.1443,1.1461,1.1512
"Bin.4.06",0.54813,0.49237,0.46132,0.44807,0.44424,0.47461,0.47314,0.4737
"Bin.2.86",0.53598,0.51419,0.49258,0.53177,0.5401,0.53527,0.53342,0.53202
"Bin.3.34",0.52828,0.50018,0.5297,0.56318,0.56065,0.55726,0.56071,0.5592
"Bin.3.66",0.50454,0.51232,0.53595,0.53863,0.54506,0.55699,0.56617,0.56811
"Bin.3.10",0.48868,0.44541,0.41705,0.40532,0.4007,0.43408,0.45765,0.46884
"Bin.7.22",0.48135,0.43397,0.44359,0.43077,0.42633,0.4577,0.45756,0.45723
"Bin.8.82",0.48083,0.6347,0.5964,0.58423,0.59146,0.58503,0.60198,0.60455
"Bin.6.46",0.47204,0.99504,1.458,1.4985,1.5133,1.4968,1.4931,1.495
"Bin.4.04",0.46808,0.42034,0.39356,0.38548,0.3812,0.4081,0.40829,0.41028
"Bin.3.46",0.46473,0.42382,0.41892,0.40697,0.4117,0.46795,0.46911,0.46893
"Bin.8.46",0.45462,0.45395,0.43945,0.44999,0.46642,0.47926,0.48016,0.47938
"Bin.3.18",0.45381,0.41,0.38557,0.39313,0.41452,0.43402,0.43814,0.44068
"Bin.2.14",0.45015,0.4043,0.38938,0.37972,0.38044,0.3952,0.39324,0.39722
"Bin.8.10",0.43081,0.40489,0.3834,0.37818,0.37866,0.3802,0.38648,0.38875
"Bin.9.74",0.42569,0.49514,0.87241,0.85338,0.92479,0.91502,0.92541,0.92372
"Bin.8.90",0.41926,0.55961,0.52592,0.51063,0.50517,0.49963,0.52281,0.52138
"Bin.6.78",0.41871,1.0909,1.0919,1.0755,1.076,1.0657,1.0703,1.0686
"Bin.1.26",0.41459,0.47257,0.61828,0.66813,0.67468,0.67354,0.66946,0.66776
"Bin.7.14",0.41103,0.52829,0.51738,0.52695,0.54362,0.54252,0.54246,0.54119
"Bin.9.62",0.40453,0.59429,0.75499,0.94074,0.98186,0.97142,0.96669,0.96406
"Bin.7.34",0.40237,0.3998,0.46773,0.4866,0.48113,0.47871,0.48013,0.48503
"Bin.7.42",0.396,0.3883,0.44029,0.46641,0.46322,0.45847,0.46028,0.46714
"Bin.3.82",0.39142,0.39847,0.37465,0.36376,0.36816,0.39265,0.39792,0.39999
"Bin.3.94",0.38957,0.36608,0.39623,0.42623,0.44917,0.50711,0.5052,0.50401
"Bin.7.74",0.38331,0.34944,0.34388,0.3343,0.33098,0.32759,0.34288,0.34377
"Bin.7.38",0.38083,0.36918,0.42424,0.44234,0.43702,0.43447,0.43497,0.44104
"Bin.9.02",0.3686,0.93638,0.90688,0.88118,0.88283,0.87442,0.87462,0.87288
"Bin.3.78",0.34747,0.3275,0.30828,0.30347,0.30055,0.30297,0.31105,0.31021
"Bin.9.26",0.34477,0.56564,0.64623,0.70937,0.72428,0.72065,0.71805,0.72474
"Bin.2.74",0.33196,0.32322,0.31257,0.32008,0.31702,0.33466,0.33289,0.33201
"Bin.3.30",0.32945,0.36953,0.38991,0.4253,0.42856,0.42722,0.43574,0.44033
"Bin.1.30",0.32802,0.30377,0.30931,0.32149,0.31782,0.34378,0.34168,0.34138
"Bin.8.06",0.32743,0.40756,0.39131,0.41176,0.40674,0.40941,0.40698,0.40594
"Bin.0.74",0.30911,0.97877,0.97948,0.98172,0.97936,0.97007,0.97403,0.97261
"Bin.9.66",0.29942,0.48858,0.77591,0.79241,0.8952,0.96202,1.0147,1.015
"Bin.2.78",0.29238,0.27208,0.25526,0.26108,0.26369,0.26892,0.28826,0.28756
"Bin.2.34",0.28003,0.25281,0.24912,0.24876,0.2458,0.27431,0.27281,0.27603
"Bin.2.38",0.26781,0.24224,0.25614,0.25703,0.25464,0.26009,0.25888,0.25891
"Bin.7.70",0.26328,0.24342,0.35614,0.3469,0.34581,0.35299,0.35881,0.35999
"Bin.0.38",0.25373,1.1325,1.0607,1.0541,1.0543,1.2086,1.2023,1.2078
"Bin.6.70",0.24847,0.95948,1.0329,1.0346,1.0284,1.0174,1.0173,1.017
"Bin.9.58",0.24828,0.58823,0.66309,0.8248,0.96726,0.9611,0.97787,0.98252
"Bin.9.54",0.23522,0.61061,0.61167,0.87253,0.88564,0.89107,0.88885,0.8919
"Bin.3.02",0.22638,0.24064,0.26188,0.27214,0.29694,0.29891,0.30117,0.30105
"Bin.9.10",0.22318,0.9902,0.9754,0.95588,0.94756,0.93803,0.93314,0.93649
"Bin.6.86",0.22062,0.45756,0.42986,0.41763,0.43289,0.43327,0.43233,0.4338
"Bin.7.18",0.20713,0.25934,0.24426,0.25282,0.25145,0.24883,0.25095,0.26977
"Bin.6.74",0.20227,0.98658,1.0253,1.0164,1.0161,1.0056,1.0071,1.0066
"Bin.2.18",0.19644,0.26295,0.34797,0.42001,0.45051,0.44998,0.4711,0.47187
"Bin.9.38",0.19321,0.99974,0.94249,0.92461,0.91339,0.90914,0.90575,0.91681
"Bin.3.42",0.19167,0.17612,0.27644,0.26843,0.26548,0.2939,0.29596,0.30064
"Bin.4.02",0.13551,0.13467,0.18683,0.31722,0.32968,0.32621,0.32795,0.33175
"Bin.7.26",0.13388,0.15511,0.35736,0.35465,0.35145,0.39071,0.39026,0.38986
"Bin.2.82",0.1314,0.14109,0.13449,0.17983,0.20368,0.21713,0.24905,0.24964
"Bin.7.94",0.13086,0.11788,0.24907,0.3067,0.30806,0.31039,0.31724,0.32303
"Bin.2.42",0.1291,0.13554,0.12723,0.14326,0.17637,0.17598,0.19747,0.2051
"Bin.9.06",0.12616,0.77108,0.85118,0.85377,0.85461,0.84599,0.84095,0.84832
