"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.58",-0.12128,-0.14071,-0.16153,0.053242,0.11068,-0.14765,0.19114,0.071241,-0.097304,0.33479,-0.063052,-0.15736,-0.12494,-0.16635,-0.019212,0.098674,0.052376,-0.12808,0.12884,-0.034822,-0.028458,0.065377,0.22233,-0.047589,-0.078381,-0.036071,0.11186,0.041054,0.22876,-0.086239,-0.084641,-0.044164,-0.082684,-0.13847,0.11494,-0.14859,-0.0070301,0.14119,-0.001108,0.16089,0.062139,0.03052,0.10403,0.0078451,0.064021,0.084754,-0.049521,-0.14045,0.087944,0.032899
"Bin.9.54",-0.12098,-0.10047,-0.15558,0.054832,-0.01157,0.18212,0.22571,-0.1501,0.20018,0.1756,0.17653,0.23235,0.13924,-0.069004,-0.063366,0.12154,0.036422,0.30445,0.009074,0.23493,0.16205,0.32958,-0.095051,0.23228,0.14456,0.049703,-0.033602,-0.074077,0.099585,-0.16611,0.23121,-0.026117,0.012161,0.0124,0.010739,-0.024686,-0.070472,0.027615,0.13209,0.0068369,0.038881,0.059309,-0.076976,0.11228,0.011432,0.016169,-6.1572e-05,-0.022609,-0.068092,0.025892
"Bin.9.50",-0.14165,0.0041674,-0.1667,0.10215,0.07237,0.056496,0.027386,-0.32219,-0.01577,0.023988,0.21434,-0.045627,-0.1802,0.10227,0.028633,-0.18495,-0.093071,-0.045042,-0.23441,-0.087716,0.08324,-0.13829,0.12416,0.13992,0.070934,0.015723,0.088821,0.11472,0.043572,0.045981,0.016423,-0.18962,0.17278,-0.04042,0.14968,0.069663,-0.1227,-0.039187,0.0014754,0.07727,0.077061,-0.065887,0.079166,-0.13787,-0.067859,-0.088106,0.022876,0.052625,-0.040298,-0.077586
"Bin.9.46",-0.10956,0.010363,0.0053289,0.047226,0.072883,0.22217,0.021197,0.027768,0.30121,-0.14222,-0.20934,0.032954,-0.10941,0.073036,0.039316,-0.18845,-0.12695,0.19341,-0.2248,-0.024731,-0.2044,0.12368,-0.093543,0.0445,-0.0629,-0.11936,-0.22378,-0.05524,-0.065211,-0.16279,-0.086509,-0.024335,-0.12244,-0.02728,0.072259,-0.1855,0.023884,0.1275,-0.13467,-0.12755,0.07879,-0.057107,-0.01074,-0.2042,0.081075,0.083143,0.015189,0.037531,-0.0055526,-0.10982
"Bin.9.42",-0.14608,0.0086115,-0.1869,0.062511,0.1023,-0.057407,0.10589,-0.21269,0.055086,-0.15609,0.19536,0.076925,-0.1614,0.0039945,0.12588,0.039352,-0.065666,-0.14709,-0.22839,0.10276,-0.049353,-0.086189,-0.14443,-0.046213,0.026268,0.10657,0.010913,0.11082,-0.17603,0.055088,-0.16854,-0.049,0.036146,0.040029,-0.088995,-0.0052154,0.076223,0.0065263,-0.13394,-0.026021,-0.011074,0.032268,0.11555,-0.05358,0.049529,0.10864,-0.0078867,-0.080189,0.061881,0.21465
"Bin.9.38",-0.14635,0.012352,0.0067032,-0.024043,0.10148,-0.0031763,0.11801,-0.00089697,-0.016869,-0.019461,-0.072172,0.024377,-0.096747,0.052731,0.022867,0.015915,0.033112,-0.063272,-0.0016098,0.051802,0.05569,0.029642,0.041016,0.009793,0.023425,0.11496,0.073685,0.047361,-0.17396,0.0043661,-0.014066,0.041534,-0.002143,-0.058491,-0.056124,-0.028078,0.089456,0.023569,0.087714,0.012189,-0.02048,-0.091315,0.03498,0.030214,0.053526,-0.015897,0.039163,0.062051,-0.11619,-0.41359
"Bin.9.34",-0.13913,-0.10424,-0.16746,-0.15278,-0.0022661,-0.050317,0.259,0.073962,-0.061097,-0.22405,0.1809,-0.060996,-0.12743,-0.11033,-0.065851,-0.070772,-0.027091,-0.14856,0.00333,0.028895,0.10229,0.15226,-0.073121,-0.045713,0.1325,-0.062041,-0.13693,-0.028425,-0.12843,0.14408,0.11099,0.11589,0.19245,0.055237,0.0913,-0.098988,0.091301,-0.02046,0.083549,-0.086549,-0.16102,-0.10144,-0.072643,0.015593,0.077158,-0.0352,0.026931,-0.063741,0.012804,0.089853
"Bin.9.30",-0.12879,0.0039491,0.046979,0.010534,0.14105,-0.22523,0.13563,0.022646,0.077571,-0.17273,-0.092712,0.075499,-0.077186,-0.072386,-0.039123,0.0076057,0.082149,-0.09613,0.022296,0.00889,-0.07488,0.10758,0.0056051,0.081628,-0.055056,0.091941,0.061214,-0.010054,-0.027258,0.021515,-0.019616,-0.11867,-0.09238,0.020427,-0.058104,-0.09215,0.037117,0.05072,-0.03274,0.070456,0.024656,-0.00061181,0.1218,-0.013031,-0.099947,-0.094437,0.018325,-0.057983,-0.12816,-0.11139
"Bin.9.26",-0.026363,-0.011883,-0.07345,0.029696,0.10719,-0.33532,0.082186,0.049864,0.065739,-0.18261,-0.0099723,0.025886,-0.014576,-0.028523,-0.13229,-0.008383,0.11812,0.073825,0.04917,0.093448,-0.23824,0.051888,0.022443,0.0079549,-0.047105,0.072652,-0.010632,0.0050184,0.15211,-0.05026,0.058838,-0.21732,-0.067174,0.046724,-0.058706,0.006238,0.10929,-0.06973,0.044431,-0.022484,0.071532,-0.057956,0.043866,0.0095601,-0.13913,-0.09683,0.038006,0.043179,-0.067742,0.15966
"Bin.9.22",-0.11257,0.0397,-0.032058,-0.027792,0.088036,-0.029394,-0.031848,-0.22821,0.15076,-0.051294,-0.18997,-0.029112,0.050432,0.22093,-0.18537,-0.22768,-0.24762,0.18557,0.26088,0.0094815,0.083545,-0.26334,-0.092508,-0.1699,-0.10777,-0.081773,0.0021751,0.17115,0.043309,-0.076009,0.012978,-0.056224,0.13693,0.028212,0.11333,-0.040728,0.1087,0.090393,0.068284,0.17219,-0.010895,0.097131,-0.015593,0.13154,0.011872,-0.075455,-0.05357,-0.012166,-0.047554,0.16775
