"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.7.94",0.010183,-0.027547,0.014462,0.069647,-0.041642,0.065377,0.0083594,0.03203
"Bin.7.90",0.038424,0.0063773,0.01163,0.023115,0.050401,-0.093202,-0.064521,0.068594
"Bin.7.86",-0.095055,-0.047494,0.0059665,0.043098,-0.038738,-0.087772,0.12338,0.082206
"Bin.7.82",-0.10313,-0.055426,0.0046009,0.043149,-0.026665,-0.10658,0.13055,0.082976
"Bin.7.78",0.048924,-0.024092,0.038573,0.017583,-0.0081453,0.049714,-0.071838,-0.020128
"Bin.7.74",0.033078,-0.022029,0.018575,0.010853,-0.014082,0.059706,-0.037898,-0.012906
"Bin.7.70",0.012869,-0.022606,0.050588,0.019907,0.0029103,-0.0041559,-0.080855,0.03662
"Bin.7.66",-0.087426,-0.043457,0.007746,0.042995,-0.025327,-0.083521,0.093957,0.082474
"Bin.7.62",-0.065765,-0.061991,0.0098034,0.053562,-0.033904,-0.10254,0.12395,0.089861
"Bin.7.58",-0.07655,-0.070524,0.010425,0.058809,-0.038892,-0.079459,0.10384,0.089801
"Bin.7.54",-0.0945,-0.060443,-0.00097522,0.050014,-0.030416,-0.088831,0.12067,0.093022
"Bin.7.50",0.015161,-0.055345,0.034201,0.028579,0.015739,-0.099487,-0.081011,0.031304
"Bin.7.46",0.052258,-0.019977,0.041196,0.034724,0.0044217,-0.079239,-0.04073,0.054085
"Bin.7.42",0.012534,-0.003908,0.019852,0.042897,0.02693,-0.041074,-0.031919,0.093922
"Bin.7.38",0.013134,-0.0063412,0.02346,0.050895,0.0062205,-0.047548,-0.033902,0.087639
"Bin.7.34",0.011477,-0.0052101,0.028212,0.045689,0.025169,-0.057507,-0.0243,0.062445
"Bin.7.30",-0.031193,-0.04277,0.019076,0.01153,-0.010087,-0.058412,-0.01706,0.038108
"Bin.7.26",-0.00025344,-0.022335,0.053861,0.028934,0.036113,-0.065657,-0.044287,0.070906
"Bin.7.22",-0.03021,-0.026961,0.034467,0.009497,0.036453,-0.06026,-0.056005,0.067641
"Bin.7.18",0.0032799,-0.025946,0.0088113,-0.018463,-0.011201,-0.025267,-0.058079,0.044901
"Bin.7.14",0.0084247,-0.043034,-0.0048388,-0.008066,-0.050595,-0.0046354,-0.050955,-0.016558
"Bin.7.10",0.016011,-0.022144,-0.0051991,0.027336,-0.0096398,-0.037862,0.044974,0.052717
"Bin.7.06",0.044432,0.0028859,0.02443,0.049174,0.0045624,-0.073754,-0.014785,0.086937
"Bin.7.02",0.055953,-0.019825,0.043489,0.049062,0.0071539,-0.057304,0.024041,0.012505
"Bin.6.98",0.024461,-0.053611,0.02878,0.014917,-0.01843,-0.047789,-0.04771,-0.0053991
"Bin.6.94",0.061195,-0.20865,0.042699,0.087355,-0.040945,0.014919,-0.1463,0.062782
"Bin.6.90",0.033912,-0.057854,0.020196,0.035586,-0.016095,-0.031942,-0.064919,-0.029614
"Bin.6.86",0.025309,-0.070415,0.0095968,0.028069,-0.040696,-0.012192,-0.065291,0.0063898
"Bin.6.82",0.064935,-0.015796,0.036894,0.00050315,-0.0047229,-0.02656,0.0043997,-0.03368
"Bin.6.78",0.071966,-0.2096,0.048523,0.096106,-0.061602,0.049703,-0.14146,0.071609
"Bin.6.74",0.081881,-0.20773,0.05642,0.09971,-0.060988,0.045207,-0.13625,0.074187
